tipo_morte;hora;bairro_ocorrencia;logradouro;genero;etnia;idade;profissao;escolaridade;instrumento_utilizado;faixa;turno
LESAO CORPORAL SEGUIDA DE MORTE;00:20;TIROL;AV SEN SALGADO FILHO ;MASCULINO;NEGRA;23;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;00:20;PAJUÇARA;R JOSE SOBRINHO LOT. NOVO HORIZONTE - PAJUCARA - NATAL;MASCULINO;BRANCA;25;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;00:20;NOSSA SRA DA APRESENTAÇÃO;R ABMAEL FLORENCIO BERNARDO Nº 529;MASCULINO;BRANCA;25;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;00:20;NOSSA SRA DA APRESENTAÇÃO;3ª TV GERMINIO BENIGNO Nº 31 , VALE DOURADO;FEMININO;BRANCA;40;EMPREGADO DOMESTICO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;ADULTO;NOTURNO
HOMICIDIO;00:20;MÃE LUÍZA;R ATALAIA;FEMININO;NEGRA;40;EMPREGADO DOMESTICO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;01:17;ROCAS;R SAO JOAO S/N;MASCULINO;NEGRA;14;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADOLESCENTE;NOTURNO
HOMICIDIO;01:00;CIDADE DA ESPERANÇA;FAVELA DO FIO;MASCULINO;BRANCA;15;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;01:17;REDINHA;R DA GAMELEIRA;MASCULINO;PARDA;22;AUXILIAR DE PESCARIA;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;00:51;FELIPE CAMARÃO;R NOSSA SRA. LIVRAMENTO;MASCULINO;BRANCA;24;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;00:51;QUINTAS;R SAO GERALDO ;MASCULINO;PARDA;31;NI;NI;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;00:51;CIDADE ALTA;TV RECANTO DO SOL - Nº: 44;MASCULINO;BRANCA;36;PORTEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;00:51;ALECRIM;CAMPO DE FUTEBOL DA GUARITA;MASCULINO;NEGRA;40;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;NOTURNO
HOMICIDIO;01:59;NOSSA SRA DA APRESENTAÇÃO;ENCONTRADO NA TV PAULO COELHO DE FRENTE POSTE X1 , JARDIM PROGRESSO;MASCULINO;BRANCA;24;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;01:59;LAGOA AZUL;CRUZAMENTO DAS RS GALDINO BISNETO DOS SANTOS LIMA COM A R POETA RENATO CALDAS ;MASCULINO;PARDA;25;VIGIA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;01:59;FELIPE CAMARÃO;R NOSSA SENHORA DO ROSARIO Nº 465;MASCULINO;BRANCA;27;MECANICO(A);ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;01:59;PAJUÇARA;R SANTA CATARINA DE SENA Nº 286;MASCULINO;PARDA;28;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;01:59;NOSSA SRA DA APRESENTAÇÃO;R: RIZOMAR CORREIA DOS SANTOS ;MASCULINO;BRANCA;29;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;01:40;MÃE LUÍZA;R JOAO XX III ;MASCULINO;NEGRA;30;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;01:59;BOM PASTOR;R MATUSALEM ;MASCULINO;NEGRA;32;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;01:38;FELIPE CAMARÃO;FAVELA DO FIO;MASCULINO;BRANCA;40;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;02:49;LAGOA AZUL;TV DR GALDINO BARRETO DE SOUZA LIMA - Nº: 23;MASCULINO;PARDA;15;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;MADRUGADA
HOMICIDIO;02:52;BOM PASTOR;AV BOM PASTOR;FEMININO;NEGRA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;MADRUGADA
HOMICIDIO;02:52;GUARAPES;AS MARGENS DO RIO GUARAPES;MASCULINO;PARDA;17;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;MADRUGADA
HOMICIDIO;03:24;ALECRIM;AV BERNANDO VIEIRA;MASCULINO;NEGRA;18;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:52;DIX-SEPT ROSADO;TV SAO VICENTE COM A SEVERINO DE PAULA;MASCULINO;BRANCA;20;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:49;LAGOA NOVA;R PADRE RAIMUNDO BRASIL;MASCULINO;PARDA;21;LAVADOR DE CARRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:52;IGAPÓ;R MAURICIO FERNANDES COM TV BOA VISTA;MASCULINO;PARDA;23;AUXILIAR DE ELETRICISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;03:24;FELIPE CAMARÃO;TV SAO VICENTE (VIA PUBLICA);MASCULINO;BRANCA;24;CARROCEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:52;QUINTAS;R NACOES UNIDAS;MASCULINO;PARDA;33;POLIDOR DE VEICULOS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:52;BOM PASTOR;R SAO FRANCISCO Nº 30;MASCULINO;NEGRA;35;APOSENTADO(A);NI;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;02:35;BOM PASTOR;R HENRIQUE DIAS S/N;MASCULINO;NEGRA;35;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:49;FELIPE CAMARÃO;RU PEDRE CICERO / FELIPE CAMARAO / N ATAL - Nº: 26;MASCULINO;BRANCA;36;SEGURANCA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:34;BOM PASTOR;R: FRANCISCO CUNHA - Nº: 28;FEMININO;NEGRA;37;DIARISTA;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:52;PAJUÇARA;R LINDOLFO GOMES VIDAL ;MASCULINO;PARDA;38;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:35;IGAPÓ;ESQUINA DA R SEBASTIAO GONCALVES COM A TV SANTO ANTONIO -VILA PARAISO;MASCULINO;PARDA;39;VENDEDOR DE LOJA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:52;NOSSA SRA DA APRESENTAÇÃO;R JOAO FERREIRA DA SILVA S/N;MASCULINO;BRANCA;53;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;OBJETO CONTUNDENTE;ADULTO;MADRUGADA
HOMICIDIO;02:52;PAJUÇARA;R DA INTEGRACAO;MASCULINO;PARDA;53;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:52;LAGOA AZUL;R DA TOADA Nº 1007;MASCULINO;PARDA;58;APOSENTADO(A);NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;02:52;PLANALTO;VIA PUBLICA;FEMININO;PARDA;86;APOSENTADO(A);NI;ARMA DE FOGO;IDOSO;MADRUGADA
HOMICIDIO;04:24;NOSSA SRA DA APRESENTAÇÃO;R SANTA ANA;MASCULINO;BRANCA;19;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:18;POTENGI;AV JOAO MEDEIROS FILHO;MASCULINO;PARDA;21;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;05:05;MÃE LUÍZA;R ALTO DA BACIA;MASCULINO;NEGRA;25;SEM PROFISSAO;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:05;CIDADE ALTA; R BEIRA CANAL ;MASCULINO;BRANCA;35;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;POTENGI;R DEP. JOAQUIM INACIO DE CARVALHO NETO;MASCULINO;PARDA;14;NI;NI;ARMA DE FOGO;ADOLESCENTE;MADRUGADA
HOMICIDIO;05:42;GUARAPES;VIA PUBLICA - R JARDIM BOTANICO ;MASCULINO;PARDA;16;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;ADOLESCENTE;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;05:42;POTENGI;NAS PROXIMIDADE S DO CARREFOUR DA ZONA NORTE;MASCULINO;PARDA;16;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ESPANCAMENTO;ADOLESCENTE;MADRUGADA
HOMICIDIO;05:42;DIX-SEPT ROSADO;AV ANTONIO BASILIO;MASCULINO;BRANCA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;05:42;BOM PASTOR;R BARAO DE MAUA Nº 119;MASCULINO;NEGRA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;MADRUGADA
HOMICIDIO;05:42;REDINHA;R CONS TRISTAO/ REDINHA;MASCULINO;PARDA;18;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;IGAPÓ; R SIQUEIRA CAMPOS - ESTACAO FERROVIARIA BEIRA RIO;MASCULINO;PARDA;18;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;QUINTAS;R RIO POTENGI;MASCULINO;PARDA;18;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;06:15;IGAPÓ;R SATURNO;MASCULINO;PARDA;19;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
