tipo_morte;hora;bairro_ocorrencia;logradouro;genero;etnia;idade;profissao;escolaridade;instrumento_utilizado;faixa;turno
HOMICIDIO;05:42;PAJUÇARA;SITIO PAJUCARA;MASCULINO;BRANCA;19;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;06:15;IGAPÓ;R NOSSA SENHORA DO O ;MASCULINO;PARDA;19;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;NOSSA SRA DA APRESENTAÇÃO;R JOAO FERREIRA DA SILVA;MASCULINO;BRANCA;20;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;PAJUÇARA;VIA PUBLICA/B. SANTRA CECLIA/ZONA NORTE/NATAL;MASCULINO;BRANCA;20;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;FELIPE CAMARÃO;R SANTA CLARA;MASCULINO;BRANCA;20;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;MÃE LUÍZA;R GUANABARA;MASCULINO;NEGRA;20;APOSENTADO(A);NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;POTENGI;R PICO DO CALCADO;MASCULINO;PARDA;21;ARTESAO;SUPERIOR;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;IGAPÓ;R SATURNO;MASCULINO;PARDA;21;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;05:42;AREIA PRETA;R VALENTIM DE ALMEIDA;MASCULINO;NEGRA;21;GARCOM;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;QUINTAS;R LUIS SAMPAIO Nº 2104;MASCULINO;PARDA;22;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;LAGOA AZUL;R ANTONIO BATISTA ,EM FRENTE A CASA DE Nº 338 ;MASCULINO;PARDA;22;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;FELIPE CAMARÃO;R DA FE -FAVELA DO FIO;MASCULINO;BRANCA;22;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;CIDADE NOVA;NI;MASCULINO;BRANCA;22;MOTORISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;PAJUÇARA;R SUPERVISOR GERALDO;MASCULINO;BRANCA;22;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;05:42;NOSSA SRA DA APRESENTAÇÃO;R MANOEL FRANCISCO DE ALBUQUERQUE ;MASCULINO;BRANCA;22;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;PAJUÇARA;AV MAR DO LESTE;MASCULINO;BRANCA;23;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;LAGOA AZUL;R SAMPAIO CORREIA, CIDADE PRAIA;MASCULINO;PARDA;23;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;PAJUÇARA;TERRENO BALDIO ;MASCULINO;BRANCA;24;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;PLANALTO;TV ANTONIO DE ALMEIDA FEITOSA;MASCULINO;PARDA;25;CARREGADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;LAGOA AZUL;R APOSTOLO TOME;MASCULINO;PARDA;25;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;PAJUÇARA;TERRENO BALDIO;MASCULINO;PARDA;26;AUXILIAR DE MECANICO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;05:42;CIDADE NOVA;R SAO BERNARDO ;MASCULINO;BRANCA;27;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;LAGOA NOVA;BR 101 KM 94.5 ;MASCULINO;PARDA;27;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;NORDESTE;AV FELIZARDO FIRMINO MOURA;MASCULINO;BRANCA;27;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;NOSSA SENHORA DE NAZARÉ;TV DA PRATA - VIA PUBLICA ;MASCULINO;BRANCA;27;ENGOMADOR(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;NOSSA SRA DA APRESENTAÇÃO;TV BAIXA VERDE CJ VALE DOURADO.;MASCULINO;BRANCA;27;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;NOSSA SRA DA APRESENTAÇÃO;R SAMPAIO CORREIA;MASCULINO;PARDA;27;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;CIDADE ALTA;TV SAO FRANCISCO COM A TV SANTO AFONSO - NO PACO DA PATRIA - NATAL;MASCULINO;BRANCA;28;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;NI;RANCHO DE PESCADORES ;MASCULINO;PARDA;29;NI;NI;ARMA BRANCA;ADULTO;MADRUGADA
HOMICIDIO;05:42;CIDADE NOVA;R JOAO HELIO( FORNO DO LIXO);MASCULINO;BRANCA;30;VENDEDOR DE LOJA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;LAGOA AZUL;ENCONTRADO NA R DOS CABOCLINHOS;MASCULINO;PARDA;32;MECANICO(A);ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;DIX-SEPT ROSADO;AV ANTONIO BASILIO;MASCULINO;BRANCA;32;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;LAGOA AZUL;ENCONTRADO EM MATAGAL ;MASCULINO;PARDA;33;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;POTENGI;BAIRRO PANATIS;MASCULINO;PARDA;34;SERVIDOR PUBLICO;SUPERIOR;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;RIBEIRA;EM FRENTE AO ALBERGUE DA RIBEIRA ;MASCULINO;NEGRA;35;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ESPANCAMENTO;ADULTO;MADRUGADA
HOMICIDIO;05:42;PAJUÇARA;POR TRAS DA QUADRA DE FUTEBOL E 6ª DP ;MASCULINO;PARDA;35;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;05:42;LAGOA AZUL;R DA VITORIA S/ Nº , LOT ALIANCA;MASCULINO;PARDA;35;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;PRAIA DO MEIO;R RODRIGUES DIAS - Nº: 287;MASCULINO;PARDA;36;GERENTE DE HOTEL;SUPERIOR;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;QUINTAS;PROXIMO DO GRUPAMENTO DE FUZILEIRO NAVAL;MASCULINO;PARDA;37;POLICIAL MILITAR;SUPERIOR;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:47;LAGOA AZUL;R MONTE DA CAPITOLIA;MASCULINO;PARDA;39;DESOCUPADO(A);NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;TIROL;AV JUVENAL LAMARTINE;MASCULINO;PARDA;39;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;LAGOA AZUL;R DO PASTORAL ;MASCULINO;PARDA;41;FEIRANTE;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:42;MÃE LUÍZA;R JABOATAO Nº 28;MASCULINO;PARDA;43;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;05:42;TIROL;ENCONTRADO NA CALCADA EM FRENTE A CAERN ,PROXIMO AO HOSPITAL W.GURGEL;MASCULINO;NEGRA;44;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;06:15;POTENGI;R MARIA JOSE LIRA Nº1855;MASCULINO;PARDA;47;NI;NI;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;05:45;CIDADE ALTA;R MIRAMAR / NATAL RN;MASCULINO;BRANCA;57;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MADRUGADA
HOMICIDIO;06:52;REDINHA;R DOS PROPRIETARIOS Nº 36;MASCULINO;PARDA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;MATUTINO
LESAO CORPORAL SEGUIDA DE MORTE;07:00;POTENGI;R DO JAMBO / ZONA NORTE/NATAL RN;MASCULINO;PARDA;17;AUTONOMO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADOLESCENTE;MATUTINO
HOMICIDIO;06:45;QUINTAS;TV MARIO NOGOCIO - Nº: 1981;MASCULINO;PARDA;20;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;07:00;PAJUÇARA;R 0TO ALENCAR/ PAJUCARA;MASCULINO;BRANCA;25;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;MATUTINO
LESAO CORPORAL SEGUIDA DE MORTE;06:52;NOSSA SRA DA APRESENTAÇÃO;R SAO PAULO II;MASCULINO;BRANCA;26;GESSEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;07:31;NOSSA SRA DA APRESENTAÇÃO;R MESTRE LUCARINO S/N;MASCULINO;BRANCA;14;DESEMPREGADO;NI;ARMA DE FOGO;ADOLESCENTE;MATUTINO
HOMICIDIO;08:19;NOSSA SRA DA APRESENTAÇÃO;R ARTESAO FARIAS Nº 410, LOT JOSE SARNEY;FEMININO;BRANCA;34;NI;NI;ARMA DE FOGO;ADULTO;MATUTINO
LESAO CORPORAL SEGUIDA DE MORTE;09:41;NOSSA SRA DA APRESENTAÇÃO;R DA LIBERDADE;MASCULINO;BRANCA;15;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADOLESCENTE;MATUTINO
HOMICIDIO;09:41;DIX-SEPT ROSADO;AV ANTONIO BASILIO;MASCULINO;BRANCA;25;SEM PROFISSAO;NI;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;09:41;PAJUÇARA;R PROFESSOR FRANCISCO CANIDE ALVES;MASCULINO;PARDA;26;SEM PROFISSAO;NI;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;10:34;CIDADE ALTA;PACO DA PATRIA ;MASCULINO;BRANCA;16;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ESPANCAMENTO;ADOLESCENTE;MATUTINO
HOMICIDIO;11:28;BOM PASTOR;R CAP. MOOR GOUVEIA/ BOM PASTOR / NATAL RN;MASCULINO;NEGRA;23;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;11:29;POTENGI;AV CAJAZEIRAS ;MASCULINO;PARDA;23;EX DETENTO TRABALHADOR;NI;ARMA DE FOGO;ADULTO;MATUTINO
LESAO CORPORAL SEGUIDA DE MORTE;11:29;CANDELÁRIA;R DR CESAR CABRAL ;MASCULINO;NEGRA;37;MARCENEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;10:34;QUINTAS;R RIO POTENGI;MASCULINO;PARDA;50;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;MATUTINO
HOMICIDIO;11:49;QUINTAS;AV BERNANDO VIEIRA;MASCULINO;PARDA;21;NI;NI;ASFIXIA MECANICA PROVOCADA;ADULTO;MATUTINO
HOMICIDIO;12:41;PAJUÇARA;R SANTA CECILIA / ZONA NORTE. NATAL RN - Nº: 36;FEMININO;BRANCA;18;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;13:28;LAGOA AZUL;BR 101 ;MASCULINO;PARDA;24;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;12:56;NOSSA SRA DA APRESENTAÇÃO;AVMARANGUAPE Nº 1761;MASCULINO;BRANCA;35;PINTOR DE VEICULOS;ENSINO MEDIO COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
LESAO CORPORAL SEGUIDA DE MORTE;12:41;MÃE LUÍZA;R ATALAIA Nº: 213;FEMININO;PARDA;45;DO LAR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;13:11;DIX-SEPT ROSADO;AV AMINTAS BARROS;MASCULINO;BRANCA;53;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
LESAO CORPORAL SEGUIDA DE MORTE;13:58;ROCAS;PROXIMO A R AREIA BRANCA;MASCULINO;NEGRA;19;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;13:56;BOM PASTOR; R JARDINS DAS PALMEIRAS S/N;MASCULINO;BRANCA;22;MECANICO(A);ENSINO MEDIO COMPLETO;ARMA BRANCA;ADULTO;VESPERTINO
HOMICIDIO;13:56;REDINHA;R SAO LUIZ / EM FRENTE A PANIFICADORA BELEM;MASCULINO;NEGRA;30;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;13:58;NOSSA SRA DA APRESENTAÇÃO;AV DAS FRONTEIRAS;MASCULINO;BRANCA;30;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;13:52;LAGOA NOVA;VIA PUBLICA ;MASCULINO;NEGRA;31;NI;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;13:56;RIBEIRA;AV DUQUE DE CAXIAS;MASCULINO;NEGRA;34;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;VESPERTINO
HOMICIDIO;14:45;LAGOA AZUL;R PIAUI Nº 215;MASCULINO;PARDA;35;AGRICULTOR(A);ENSINO FUNDAMENTAL COMPLETO;ESPANCAMENTO;ADULTO;VESPERTINO
HOMICIDIO;16:10;PLANALTO;R SANTA ONOFRE Nº 24;FEMININO;PARDA;18;DO LAR;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;ADULTO;VESPERTINO
HOMICIDIO;16:10;SALINAS;ENCONTRADO EM VIA PUBLICA - BEIRA RIO - NATAL;MASCULINO;NEGRA;20;DESEMPREGADO;NI;ARMA DE FOGO;ADULTO;VESPERTINO
