BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA;TURNO;ZONA
CIDADE NOVA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;fev;SEM4;qua;ADU;VES;Oeste
DIX-SEPT ROSADO;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;mar;SEM4;sex;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM4;seg;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM1;qui;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM4;sáb;ADU;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;AUXILIAR DE COZINHA;NI_ESC;ARMA_F;jan;SEM4;qui;ADU;NOT;Oeste
GUARAPES;MASC;PAR;NI_PROF;EFI;ARMA_F;nov;SEM1;qui;ADU;NOT;Oeste
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;abr;SEM5;sex;ADU;MAT;Norte
LAGOA NOVA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jan;SEM5;ter;ADU;NOT;Sul
LAGOA NOVA;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;mar;SEM2;qua;ADU;NOT;Sul
MÃE LUÍZA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM4;sex;ADU;VES;Oeste
NEÓPOLIS;MASC;PAR;CHAPEIRO;NI_ESC;ARMA_F;abr;SEM5;dom;ADU;MAT;Sul
NI_BAIRRO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM4;sex;ADU;NI_TUR;NI_ZONA
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;EFI;ARMA_F;nov;SEM2;sex;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ASG;NI_ESC;ARMA_F;mai;SEM2;qui;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;AJUDANTE DE PEDREIRO;NI_ESC;ARMA_F;fev;SEM5;dom;ADU;MAD;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM2;sáb;ADU;VES;Norte
PAJUÇARA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jan;SEM2;qui;ADU;VES;Norte
POTENGI;MASC;PAR;RECEPCIONISTA;NI_ESC;ARMA_F;mai;SEM3;seg;ADU;NOT;Norte
POTENGI;MASC;PAR;AJUDANTE DE PEDREIRO;NI_ESC;ARMA_F;ago;SEM1;ter;ADU;NOT;Norte
REDINHA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM2;qua;ADU;VES;Norte
REDINHA;MASC;PAR;NI_PROF;NI_ESC;ARMA_B;set;SEM4;qua;ADU;MAT;Norte
REDINHA;MASC;PAR;AGRICULTOR;NI_ESC;ARMA_F;jul;SEM5;qui;ADU;NOT;Norte
ROCAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;out;SEM2;sex;ADU;NOT;Leste
ALECRIM;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM4;ter;ADU;NOT;Leste
BOM PASTOR;MASC;PAR;FUNILEIRO;NI_ESC;ARMA_B;ago;SEM5;qua;ADU;MAT;Oeste
BOM PASTOR;MASC;PAR;AJUDANTE DE PRODUCAO;NI_ESC;ARMA_F;abr;SEM2;sex;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;NI_ETN;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM3;sáb;ADU;NOT;Oeste
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM1;qua;ADU;NOT;Norte
IGAPÓ;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM5;seg;ADU;VES;Norte
LAGOA AZUL;MASC;PAR;VIDRACEIRO;NI_ESC;ARMA_F;set;SEM5;sex;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM4;qui;ADU;VES;Norte
LAGOA AZUL;MASC;PAR;CHEFE DE COZINHA;NI_ESC;ARMA_F;jul;SEM5;qui;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM3;seg;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;GARÇON;NI_ESC;ARMA_F;fev;SEM2;sáb;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;dez;SEM1;sex;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;COMERCIARIO;NI_ESC;ARMA_F;out;SEM1;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;nov;SEM2;sáb;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;PADEIRO;NI_ESC;ARMA_F;jan;SEM1;sex;ADU;VES;Norte
PAJUÇARA;MASC;PAR;NI_PROF;EFI;ARMA_F;nov;SEM5;dom;ADU;VES;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM2;dom;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;VENDEDOR;NI_ESC;ARMA_F;mar;SEM3;qua;ADU;NOT;Norte
POTENGI;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM3;qua;ADU;NOT;Norte
QUINTAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM4;seg;ADU;VES;Oeste
QUINTAS;MASC;PAR;AUTONOMO;NI_ESC;ARMA_B;abr;SEM5;dom;ADU;NOT;Oeste
SALINAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_B;jun;SEM4;qui;ADU;MAT;Norte
ALECRIM;MASC;PAR;AUXILIAR DE SERRALHEIRO;NI_ESC;ARMA_F;ago;SEM3;ter;ADU;VES;Leste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ESPANC;jan;SEM1;sáb;ADU;MAD;Oeste
NORDESTE;MASC;PAR;DESEMPREGADO;EFI;ARMA_F;dez;SEM3;dom;ADU;NOT;Oeste
NORDESTE;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;ago;SEM3;dom;ADU;MAD;Oeste
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;COMERCIARIO;NI_ESC;ARMA_F;out;SEM1;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;jan;SEM5;ter;ADU;VES;Norte
PAJUÇARA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM2;qua;ADU;VES;Norte
PAJUÇARA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM2;qua;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;mar;SEM4;qua;ADU;VES;Norte
PAJUÇARA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM5;qua;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;CANTOR;NI_ESC;ARMA_F;mar;SEM3;seg;ADU;NOT;Norte
PITIMBU;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;abr;SEM4;qua;ADU;NOT;Sul
POTENGI;MASC;PAR;DESEMPREGADO;EFI;AMP;out;SEM3;ter;ADU;MAD;Norte
POTENGI;MASC;PAR;DESEMPREGADO;EMI;ARMA_F;nov;SEM5;qui;ADU;MAD;Norte
POTENGI;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM1;qua;ADU;MAT;Norte
BOM PASTOR;MASC;PAR;CARROCEIRO;NI_ESC;ARMA_B;mai;SEM4;dom;ADU;MAT;Oeste
CIDADE ALTA;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;jul;SEM3;qua;ADU;MAD;Leste
CIDADE DA ESPERANÇA;MASC;PAR;ARMADOR PREMOLDADO;NI_ESC;ARMA_F;fev;SEM2;qui;ADU;VES;Oeste
DIX-SEPT ROSADO;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM1;qua;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM4;sex;ADU;MAT;Oeste
GUARAPES;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;abr;SEM2;sex;ADU;MAD;Oeste
GUARAPES;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM4;seg;ADU;VES;Oeste
LAGOA AZUL;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;jan;SEM2;qui;ADU;NOT;Norte
NORDESTE;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM3;dom;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;ago;SEM5;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jan;SEM3;qua;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM5;sex;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM4;qui;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;abr;SEM3;seg;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_B;abr;SEM2;sáb;ADU;MAT;Norte
PITIMBU;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;jul;SEM2;qua;ADU;MAT;Sul
PLANALTO;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM2;ter;ADU;VES;Oeste
PLANALTO;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;jan;SEM3;seg;ADU;NOT;Oeste
POTENGI;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;nov;SEM1;qua;ADU;MAD;Norte
PRAIA DO MEIO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM2;sex;ADU;MAT;Leste
QUINTAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM2;qui;ADU;NOT;Oeste
QUINTAS;MASC;PAR;FEIRANTE;NI_ESC;ARMA_F;jan;SEM4;ter;ADU;NOT;Oeste
REDINHA;MASC;PAR;PINTOR DE CARRO;NI_ESC;ARMA_F;out;SEM2;dom;ADU;VES;Norte
SANTOS REIS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mar;SEM1;sáb;ADU;NOT;Leste
ALECRIM;MASC;PAR;FLANELINHA;NI_ESC;ARMA_F;nov;SEM4;sex;ADU;VES;Leste
BOM PASTOR;FEM;PAR;GARCONETE;NI_ESC;ARMA_B;nov;SEM4;sáb;ADU;MAT;Oeste
BOM PASTOR;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM5;dom;ADU;MAT;Oeste
BOM PASTOR;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mai;SEM1;sex;ADU;NOT;Oeste
FELIPE CAMARÃO;FEM;BRA;MANICURE;NI_ESC;ARMA_F;set;SEM5;sáb;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;GARÇON;NI_ESC;ARMA_F;abr;SEM3;sáb;ADU;MAD;Oeste
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;fev;SEM4;qua;ADU;VES;Norte
IGAPÓ;MASC;PAR;ESTOQUISTA;NI_ESC;ARMA_F;mar;SEM3;qua;ADU;MAD;Norte
LAGOA AZUL;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;mar;SEM5;dom;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM4;qua;ADU;VES;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jan;SEM3;sáb;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;set;SEM4;qui;ADU;NOT;Norte
LAGOA NOVA;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;ago;SEM3;ter;ADU;NOT;Sul
NORDESTE;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mar;SEM5;seg;ADU;MAT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ASG;EFI;ARMA_F;out;SEM3;seg;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;mar;SEM5;seg;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM4;ter;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;EX PRESIDIARIO;NI_ESC;ARMA_F;jul;SEM3;seg;ADU;MAD;Norte
PAJUÇARA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM1;ter;ADU;VES;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM1;sex;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM3;qui;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;AJUDANTE DE SERVIÇOS GERAIS;NI_ESC;ARMA_F;ago;SEM4;seg;ADU;NOT;Norte
QUINTAS;MASC;PAR;COMERCIANTE;NI_ESC;ARMA_F;jun;SEM1;sáb;ADU;NOT;Oeste
SANTOS REIS;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;abr;SEM4;sáb;ADU;NOT;Leste
ALECRIM;MASC;PAR;VENDEDOR;NI_ESC;ARMA_F;jul;SEM4;qui;ADU;NOT;Leste
FELIPE CAMARÃO;MASC;PAR;AJUDANTE DE GESSEIRO;NI_ESC;ARMA_F;nov;SEM2;sex;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM1;qui;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;PAR;CARREGADOR DE MERCADORIAS;NI_ESC;ARMA_F;jul;SEM3;qua;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;GARÇOM;NI_ESC;ARMA_F;jul;SEM1;sáb;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;PESCADOR;NI_ESC;ARMA_F;mar;SEM4;seg;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;PAR;COMERCIANTE;NI_ESC;ARMA_F;ago;SEM1;ter;ADU;VES;Oeste
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ESPANC;jul;SEM4;seg;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ESPANC;set;SEM3;ter;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM5;qui;ADU;VES;Norte
LAGOA NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM2;qui;ADU;NOT;Sul
NORDESTE;MASC;PAR;DESEMPREGADO;EFI;ARMA_F;dez;SEM3;dom;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM3;ter;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;EFI;ARMA_F;nov;SEM3;dom;ADU;NOT;Norte
PLANALTO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jan;SEM3;sáb;ADU;NOT;Oeste
PONTA NEGRA;MASC;NI_ETN;NI_PROF;NI_ESC;ARMA_B;jan;SEM2;sáb;ADU;NOT;Sul
POTENGI;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM3;dom;ADU;MAD;Norte
QUINTAS;MASC;PAR;DIARISTA;NI_ESC;ARMA_F;mai;SEM2;sex;ADU;MAT;Oeste
QUINTAS;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;set;SEM4;sex;ADU;NOT;Oeste
REDINHA;MASC;BRA;TECNICO DE REFRIGERACAO;NI_ESC;ARMA_F;set;SEM2;sex;ADU;VES;Norte
ROCAS;FEM;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM5;qua;ADU;VES;Leste
SANTOS REIS;MASC;PAR;ESTUDANTE;NI_ESC;ENFORCAMENTO;ago;SEM1;sáb;ADU;MAD;Leste
TIROL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM4;qua;ADU;VES;Leste
ALECRIM;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;mar;SEM2;seg;ADU;MAT;Leste
ALECRIM;MASC;PAR;AUXILIAR MECANICO;NI_ESC;ARMA_F;dez;SEM3;dom;ADU;VES;Leste
DIX-SEPT ROSADO;MASC;PAR;NI_PROF;EFI;ARMA_F;out;SEM5;dom;ADU;MAT;Oeste
LAGOA AZUL;MASC;PAR;DESEMPREGADO;EFI;ARMA_F;nov;SEM1;sáb;ADU;MAT;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM4;sáb;ADU;NOT;Norte
LAGOA NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_B;dez;SEM4;sex;ADU;NOT;Sul
NI_BAIRRO;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;abr;SEM5;dom;ADU;NOT;NI_ZONA
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;mai;SEM2;dom;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM4;ter;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;abr;SEM5;sex;ADU;NOT;Norte
PLANALTO;MASC;PAR;PEDREIRO;NI_ESC;ARMA_F;mar;SEM4;sáb;ADU;NOT;Oeste
PONTA NEGRA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM4;seg;ADU;VES;Sul
PONTA NEGRA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM4;sex;ADU;NOT;Sul
POTENGI;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;fev;SEM2;seg;ADU;MAT;Norte
POTENGI;MASC;PAR;NI_PROF;NI_ESC;ESPANC;set;SEM3;qui;ADU;MAT;Norte
QUINTAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM2;dom;ADU;NOT;Oeste
REDINHA;MASC;PAR;BORRACHEIRO;NI_ESC;ARMA_F;jun;SEM1;sáb;ADU;NOT;Norte
ROCAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM3;ter;ADU;NOT;Leste
ROCAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM2;dom;ADU;NOT;Leste
CAPIM MACIO;MASC;PAR;VIGILANTE;NI_ESC;ARMA_F;jan;SEM3;qui;ADU;VES;Sul
CIDADE DA ESPERANÇA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM2;dom;ADU;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM3;sáb;ADU;NOT;Oeste
IGAPÓ;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;mar;SEM1;sex;ADU;VES;Norte
IGAPÓ;MASC;PAR;PESCADOR;NI_ESC;ARMA_F;ago;SEM2;sáb;ADU;MAD;Norte
LAGOA AZUL;MASC;PAR;MOTOBOY;NI_ESC;ARMA_F;jul;SEM3;sáb;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;AMBULANTE;NI_ESC;ARMA_F;fev;SEM4;sáb;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;ago;SEM1;sex;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;out;SEM2;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;GESSEIRO;NI_ESC;ARMA_F;jul;SEM5;qua;ADU;MAD;Norte
PLANALTO;MASC;PAR;ASG;NI_ESC;ARMA_F;jan;SEM4;dom;ADU;MAD;Oeste
PLANALTO;FEM;PAR;DO LAR;NI_ESC;ARMA_F;out;SEM1;seg;ADU;NOT;Oeste
POTENGI;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM5;dom;ADU;NOT;Norte
PRAIA DO MEIO;MASC;PAR;VIGILANTE;NI_ESC;ARMA_F;fev;SEM4;seg;ADU;NOT;Leste
QUINTAS;MASC;PAR;DIARISTA;EFI;ARMA_F;dez;SEM5;sáb;ADU;NOT;Oeste
REDINHA;MASC;PAR;DESEMPREGADO;EFI;ARMA_F;out;SEM2;seg;ADU;MAT;Norte
REDINHA;MASC;PAR;ENTREGADOR;NI_ESC;ARMA_F;jun;SEM3;sáb;ADU;MAT;Norte
REDINHA;MASC;PAR;PESCADOR;NI_ESC;ARMA_F;fev;SEM3;sáb;ADU;MAD;Norte
ROCAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM5;qua;ADU;VES;Leste
BOM PASTOR;MASC;PAR;AMBULANTE;NI_ESC;ARMA_F;dez;SEM3;qua;ADU;NOT;Oeste
BOM PASTOR;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM3;dom;ADU;VES;Oeste
BOM PASTOR;MASC;PAR;AG. PENITENCIARIO ESTADUAL;NI_ESC;ARMA_F;out;SEM2;ter;ADU;NOT;Oeste
IGAPÓ;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM5;qui;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;COZINHEIRO;NI_ESC;ARMA_F;abr;SEM1;sáb;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mai;SEM3;ter;ADU;NOT;Norte
LAGOA NOVA;MASC;BRA;AJUDANTE;NI_ESC;ARMA_F;abr;SEM4;seg;ADU;MAT;Sul
LAGOA NOVA;MASC;PAR;COMERCIANTE;NI_ESC;ARMA_F;ago;SEM1;sáb;ADU;NOT;Sul
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;PEDREIRO;NI_ESC;ESPANC;jul;SEM4;sex;ADU;MAD;Norte
POTENGI;MASC;PAR;POLICIAL MILITAR;NI_ESC;ARMA_F;jan;SEM5;ter;ADU;VES;Norte
POTENGI;MASC;PAR;MOTOBOY;NI_ESC;ARMA_F;jul;SEM2;dom;ADU;NOT;Norte
POTENGI;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM2;dom;ADU;NOT;Norte
QUINTAS;MASC;PAR;MECANICO;NI_ESC;ARMA_F;set;SEM5;sáb;ADU;NOT;Oeste
RIBEIRA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM4;sáb;ADU;MAD;Leste
ALECRIM;MASC;NI_ETN;NI_PROF;NI_ESC;ARMA_F;jul;SEM3;dom;ADU;MAD;Leste
CIDADE DA ESPERANÇA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;set;SEM4;qua;ADU;NOT;Oeste
DIX-SEPT ROSADO;MASC;PAR;ASG;NI_ESC;ARMA_F;dez;SEM4;seg;ADU;MAT;Oeste
LAGOA AZUL;FEM;PAR;DO LAR;NI_ESC;ARMA_F;ago;SEM3;sáb;ADU;MAT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM2;dom;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;TAXISTA;NI_ESC;ARMA_F;ago;SEM1;qui;ADU;VES;Norte
MÃE LUÍZA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM4;dom;ADU;VES;Norte
NEÓPOLIS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM5;qui;ADU;VES;Sul
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;MOTORISTA;NI_ESC;ARMA_F;abr;SEM5;sáb;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;MECANICO;NI_ESC;ARMA_F;mai;SEM3;qui;ADU;VES;Norte
PAJUÇARA;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;mai;SEM3;qui;ADU;MAT;Norte
PRAIA DO MEIO;MASC;PAR;VIGILANTE;NI_ESC;ARMA_F;jan;SEM3;dom;ADU;NOT;Leste
QUINTAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM4;qua;ADU;NOT;Oeste
REDINHA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;mar;SEM1;sex;ADU;VES;Norte
CANDELÁRIA;MASC;PAR;NI_PROF;NI_ESC;PEDRA;out;SEM4;seg;ADU;VES;Sul
DIX-SEPT ROSADO;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;mar;SEM3;sex;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;ASG;NI_ESC;ARMA_F;mai;SEM1;qui;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;PAR;BARBEIRO;NI_ESC;ARMA_F;abr;SEM4;seg;ADU;NOT;Oeste
LAGOA AZUL;MASC;PAR;MONTADOR DE CAMARA FRIA;NI_ESC;ARMA_B;jun;SEM2;sáb;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;set;SEM3;sex;ADU;NOT;Norte
NEÓPOLIS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM3;dom;ADU;MAD;Sul
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM5;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;AUXILIAR DE COZINHA;NI_ESC;ARMA_F;jan;SEM1;sex;ADU;NOT;Norte
PAJUÇARA;FEM;BRA;DO LAR;NI_ESC;ARMA_F;fev;SEM2;sáb;ADU;NOT;Norte
PITIMBU;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;abr;SEM4;qua;ADU;NOT;Sul
POTENGI;MASC;PAR;COZINHEIRO;NI_ESC;ENFORCAMENTO;ago;SEM3;sex;ADU;MAT;Norte
POTENGI;MASC;PAR;NI_PROF;NI_ESC;ARMA_B;dez;SEM4;dom;ADU;MAT;Norte
QUINTAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM2;qua;ADU;VES;Oeste
QUINTAS;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;mar;SEM2;qui;ADU;NOT;Oeste
