BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;SEMANA;DIA DA SEMANA;FAIXA;TURNO;ZONA
FELIPE CAMARÃO;MASC;PAR;CRIANCA;NI_ESC;ARMA_F;abr;SEM3;qui;CRI;VES;Oeste
BOM PASTOR;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;abr;SEM4;seg;ADO;VES;Oeste
IGAPÓ;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;abr;SEM2;ter;ADO;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;abr;SEM4;sáb;ADO;MAT;Norte
IGAPÓ;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;abr;SEM3;sáb;ADO;VES;Norte
IGAPÓ;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;abr;SEM4;seg;ADO;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM5;sex;ADU;NOT;Norte
LAGOA AZUL;MASC;NEG;SEM PROFISSAO;NI_ESC;ARMA_B;abr;SEM3;dom;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM3;dom;ADU;NOT;Norte
DIX-SEPT ROSADO;MASC;PAR;GARCOM;EMC;ARMA_F;abr;SEM3;qua;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;NEG;ASG;EFC;ARMA_F;abr;SEM5;ter;ADU;MAT;Oeste
NORDESTE;MASC;PAR;SERVENTE DE OBRAS;EFC;NI_INS;abr;SEM2;qui;ADU;VES;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM5;sex;ADU;NOT;Norte
LAGOA AZUL;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;abr;SEM3;sáb;ADU;NOT;Norte
PAJUÇARA;MASC;NEG;COMERCIANTE;EMC;ARMA_F;abr;SEM4;dom;ADU;MAT;Norte
ROCAS;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;abr;SEM2;sáb;ADU;MAT;Norte
LAGOA AZUL;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;abr;SEM3;qui;ADU;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM3;dom;ADU;NOT;Norte
QUINTAS;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;abr;SEM2;dom;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;abr;SEM3;seg;ADU;MAT;Oeste
PAJUÇARA;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;abr;SEM4;qui;ADU;MAT;Norte
PLANALTO;MASC;NEG;BISCATEIRO;EFC;ARMA_F;abr;SEM4;dom;ADU;VES;Oeste
MÃE LUÍZA;MASC;PAR;PORTEIRO;EMC;ARMA_F;abr;SEM5;qui;ADU;MAD;Norte
NI_BAIRRO;MASC;PAR;DETENTO FUGITIVO;NI_ESC;ARMA_F;abr;SEM2;sáb;ADU;VES;NI_ZONA
NOSSA SENHORA DE NAZARÉ;MASC;BRA;DETENTO EM LIBERDADE CONDICIONAL;NI_ESC;ARMA_F;abr;SEM4;qui;ADU;NOT;Oeste
PLANALTO;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;abr;SEM2;qua;ADU;MAT;Oeste
PAJUÇARA;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;abr;SEM4;dom;ADU;MAT;Norte
NOSSA SENHORA DE NAZARÉ;MASC;PAR;AUXILIAR ADMINISTRATIVO;EMC;ARMA_F;abr;SEM2;qua;ADU;NOT;Oeste
BOM PASTOR;MASC;NEG;DETENTO FUGITIVO;NI_ESC;ARMA_F;abr;SEM2;dom;ADU;VES;Oeste
POTENGI;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM5;qui;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;APOSENTADO(A);NI_ESC;ARMA_F;abr;SEM2;dom;ADU;MAT;Norte
CIDADE NOVA;MASC;PAR;VIGILANTE;EMC;ARMA_F;abr;SEM5;sáb;ADU;NOT;Oeste
LAGOA AZUL;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM5;ter;ADU;NOT;Norte
QUINTAS;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;abr;SEM3;sex;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;BRA;MOTORISTA;EMC;ARMA_F;abr;SEM4;ter;ADU;VES;Oeste
PETRÓPOLIS;MASC;PAR;COMERCIANTE;EMC;ARMA_F;abr;SEM3;qua;ADU;NOT;Norte
CIDADE ALTA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM4;ter;ADU;NOT;Norte
MÃE LUÍZA;MASC;PAR;FLANELINHA;EFC;ARMA_F;abr;SEM2;qui;ADU;NOT;Norte
POTENGI;MASC;NEG;GERENTE ADMINISTRATIVO;SUP;ARMA_F;abr;SEM1;sex;ADU;NOT;Norte
ALECRIM;MASC;PAR;AMBULANTE;EFC;ARMA_F;abr;SEM3;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;ago;SEM5;seg;ADO;MAT;Norte
LAGOA NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM1;sex;ADO;MAD;Sul
NEÓPOLIS;MASC;BRA;ESTUDANTE C;EMC;ARMA_F;ago;SEM1;qui;ADO;MAT;Norte
PAJUÇARA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;ago;SEM5;seg;ADO;NOT;Norte
FELIPE CAMARÃO;MASC;PAR;AUTONOMO(A);EFC;ARMA_B;ago;SEM4;sáb;ADU;NOT;Oeste
GUARAPES;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;ago;SEM3;seg;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;DO LAR;EFC;ARMA_F;ago;SEM3;ter;ADU;MAT;Norte
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM2;qui;ADU;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;ago;SEM4;seg;ADU;NI_TUR;Oeste
CIDADE NOVA;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;ago;SEM2;seg;ADU;NOT;Oeste
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM2;qui;ADU;NOT;Norte
PLANALTO;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;ago;SEM5;seg;ADU;MAT;Oeste
