BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;SEMANA;DIA DA SEMANA;FAIXA;TURNO;ZONA
ROCAS;MASC;PAR;MOTORISTA;EMC;ARMA_F;ago;SEM5;dom;ADU;NI_TUR;Norte
PLANALTO;MASC;NI_ETN;NI_PROF;NI_ESC;ARMA_F;ago;SEM1;ter;ADU;VES;Oeste
POTENGI;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;ago;SEM2;seg;ADU;NOT;Norte
ROCAS;FEM;PAR;ESTUDANTE C;EMC;ARMA_F;ago;SEM2;qui;ADU;NOT;Norte
BOM PASTOR;MASC;PAR;APOSENTADO(A);NI_ESC;ARMA_F;ago;SEM2;sex;ADU;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM1;ter;ADU;VES;Oeste
LAGOA AZUL;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;ago;SEM2;sáb;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM1;sáb;ADU;VES;Norte
PLANALTO;MASC;PAR;AUTONOMO(A);EFC;ESPANC;ago;SEM3;qui;ADU;VES;Oeste
PLANALTO;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;ago;SEM3;qua;ADU;VES;Oeste
REDINHA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM2;qui;ADU;VES;Norte
CIDADE NOVA;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;ago;SEM1;qui;ADU;MAT;Oeste
DIX-SEPT ROSADO;MASC;PAR;MARCENEIRO;EMC;ARMA_F;ago;SEM1;sex;ADU;MAD;Oeste
GUARAPES;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;ago;SEM3;dom;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM1;sáb;ADU;VES;Oeste
LAGOA NOVA;MASC;PAR;PINTOR;EFC;ARMA_F;ago;SEM4;qua;ADU;NOT;Sul
QUINTAS;MASC;PAR;MECANICO(A);EMC;ARMA_F;ago;SEM5;dom;ADU;NOT;Oeste
QUINTAS;MASC;PAR;APOSENTADO(A);NI_ESC;ARMA_F;ago;SEM5;dom;ADU;NOT;Oeste
MÃE LUÍZA;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;ago;SEM2;seg;ADU;VES;Norte
FELIPE CAMARÃO;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_B;ago;SEM2;dom;ADU;NOT;Oeste
NEÓPOLIS;MASC;NI_ETN;NI_PROF;NI_ESC;ARMA_F;ago;SEM1;qui;ADU;MAT;Oeste
PAJUÇARA;FEM;PAR;DO LAR;EFC;ARMA_B;ago;SEM4;dom;ADU;MAD;Norte
CIDADE NOVA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_B;ago;SEM4;sex;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;BALCONISTA;EMC;ARMA_F;ago;SEM5;seg;ADU;MAT;Oeste
REDINHA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM2;qui;ADU;MAD;Norte
PAJUÇARA;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;ago;SEM4;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;ago;SEM5;dom;IDO;MAT;Norte
PITIMBU;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;dez;SEM2;dom;ADO;VES;Sul
IGAPÓ;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM2;sex;ADO;MAT;Norte
IGAPÓ;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;dez;SEM5;ter;ADU;NOT;Norte
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM2;dom;ADU;VES;Norte
LAGOA AZUL;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;dez;SEM3;sáb;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM4;dom;ADU;VES;Norte
POTENGI;MASC;PAR;BISCATEIRO;EFC;ARMA_F;dez;SEM3;sáb;ADU;MAT;Norte
REDINHA;MASC;PAR;ESTUDANTE;NI_ESC;ARMA_F;dez;SEM4;qua;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM5;dom;ADU;MAT;Norte
BOM PASTOR;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;dez;SEM2;sex;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;dez;SEM3;qua;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;dez;SEM4;sáb;ADU;MAT;Norte
LAGOA AZUL;MASC;PAR;NI_PROF;NI_ESC;ARMA_B;dez;SEM5;ter;ADU;VES;Norte
CIDADE DA ESPERANÇA;MASC;PAR;CARREGADOR;EFC;ARMA_F;dez;SEM3;qui;ADU;NI_TUR;Oeste
LAGOA AZUL;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;dez;SEM1;sáb;ADU;NOT;Norte
QUINTAS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM4;seg;ADU;NOT;Oeste
BOM PASTOR;MASC;PAR;AUXILIAR DE COZINHA;EMC;ARMA_F;dez;SEM3;qua;ADU;MAD;Oeste
BOM PASTOR;MASC;NI_ETN;NI_PROF;NI_ESC;ARMA_F;dez;SEM2;dom;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;PESCADOR;NI_ESC;ARMA_F;dez;SEM5;dom;ADU;MAD;Norte
PLANALTO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM3;seg;ADU;VES;Oeste
PAJUÇARA;MASC;PAR;ARTESAO;SUP;ARMA_F;dez;SEM4;dom;ADU;NOT;Norte
FELIPE CAMARÃO;MASC;PAR;AUTONOMO;NI_ESC;ARMA_F;dez;SEM4;sáb;ADU;NOT;Oeste
PLANALTO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM3;sáb;ADU;NOT;Oeste
PITIMBU;MASC;PAR;SERVENTE DE PEDREIRO;NI_ESC;ARMA_F;dez;SEM2;dom;ADU;VES;Sul
FELIPE CAMARÃO;FEM;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM4;sáb;ADU;NOT;Oeste
PLANALTO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM2;ter;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;TAXISTA;EMC;ARMA_F;dez;SEM2;sex;ADU;VES;Norte
CIDADE ALTA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM4;seg;ADU;NOT;Norte
LAGOA NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_B;dez;SEM2;seg;ADU;MAD;Sul
FELIPE CAMARÃO;MASC;PAR;SOLDADOR;EFC;ARMA_F;dez;SEM3;sáb;ADU;NOT;Oeste
PRAIA DO MEIO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM5;qua;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;VIGIA;EMC;ARMA_F;dez;SEM2;ter;ADU;NOT;Norte
IGAPÓ;FEM;PAR;DESOCUPADO;NI_ESC;ESPANC;dez;SEM2;qui;ADU;VES;Norte
ALECRIM;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM5;dom;ADU;NOT;Norte
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM2;qua;ADU;NOT;Norte
BOM PASTOR;MASC;PAR;AGENTE JUDICIARIO;NI_ESC;ARMA_F;dez;SEM1;qui;ADU;NOT;Oeste
ROCAS;MASC;PAR;APOSENTADO(A);NI_ESC;ARMA_F;dez;SEM5;qua;ADU;NOT;Norte
FELIPE CAMARÃO;MASC;NEG;NI_PROF;NI_ESC;ARMA_B;fev;SEM3;qua;ADO;VES;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;fev;SEM1;sáb;ADO;VES;Norte
FELIPE CAMARÃO;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;fev;SEM2;sáb;ADU;MAT;Oeste
LAGOA NOVA;MASC;NEG;AUTONOMO(A);EFC;ARMA_F;fev;SEM4;ter;ADU;NOT;Sul
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM2;qui;ADU;NOT;Norte
CIDADE NOVA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;fev;SEM4;qui;ADU;MAT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;fev;SEM3;dom;ADU;NOT;Norte
PRAIA DO MEIO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM3;dom;ADU;VES;Norte
IGAPÓ;MASC;NEG;ASG;EFC;ARMA_F;fev;SEM1;sáb;ADU;MAD;Norte
NOVA DESCOBERTA;MASC;PAR;REPOSITOR DE ESTOQUE;EMC;ARMA_F;fev;SEM4;sáb;ADU;NOT;Sul
CIDADE DA ESPERANÇA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;fev;SEM2;dom;ADU;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM2;dom;ADU;MAD;Oeste
LAGOA AZUL;MASC;PAR;MARCENEIRO;EMC;ARMA_F;fev;SEM5;dom;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;TECNICO EM ELETRONICA;EMC;ARMA_B;fev;SEM2;dom;ADU;VES;Norte
NORDESTE;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;fev;SEM4;sáb;ADU;NOT;Oeste
QUINTAS;MASC;NEG;SEM PROFISSAO;NI_ESC;ARMA_F;fev;SEM2;sex;ADU;VES;Oeste
REDINHA;FEM;PAR;DO LAR;EFC;ARMA_B;fev;SEM1;ter;ADU;MAD;Norte
REDINHA;MASC;PAR;AUTONOMO(A);EFC;ARMA_F;fev;SEM2;qua;ADU;MAT;Norte
BOM PASTOR;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;fev;SEM3;sáb;ADU;MAT;Oeste
PLANALTO;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;fev;SEM1;qua;ADU;MAD;Oeste
GUARAPES;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;fev;SEM3;sáb;ADU;VES;Oeste
NORDESTE;FEM;PAR;DO LAR;EFC;ARMA_F;fev;SEM5;dom;ADU;VES;Oeste
MÃE LUÍZA;MASC;PAR;AUTONOMO(A);EFC;ARMA_F;fev;SEM3;dom;ADU;NOT;Norte
POTENGI;MASC;PAR;AUXILIAR DE COZINHA;EMC;ARMA_F;fev;SEM2;seg;ADU;MAD;Norte
FELIPE CAMARÃO;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_B;fev;SEM4;qua;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;fev;SEM4;seg;ADU;NOT;Norte
CIDADE DA ESPERANÇA;MASC;NEG;FEIRANTE;NI_ESC;ARMA_F;fev;SEM5;dom;ADU;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;fev;SEM2;qua;ADU;VES;Oeste
PAJUÇARA;MASC;NEG;SEM PROFISSAO;NI_ESC;ARMA_F;fev;SEM5;seg;ADU;NOT;Norte
BOM PASTOR;MASC;PAR;TAXISTA;EMC;ARMA_F;fev;SEM4;sex;ADU;VES;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;fev;SEM2;dom;ADU;NOT;Oeste
CIDADE NOVA;MASC;NEG;AUTONOMO(A);EFC;ARMA_F;fev;SEM1;ter;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;fev;SEM2;sáb;ADU;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;NI_PROF;NI_ESC;ESPANC;fev;SEM3;sex;ADU;MAD;Oeste
PITIMBU;MASC;BRA;POLICIAL CIVIL;SUP;ARMA_F;fev;SEM1;qua;ADU;NOT;Sul
CIDADE ALTA;MASC;PAR;PESCADOR;NI_ESC;ARMA_B;fev;SEM4;ter;ADU;MAT;Norte
DIX-SEPT ROSADO;MASC;PAR;CABELEIREIRO(A);EFC;ARMA_B;fev;SEM3;seg;ADU;MAT;Oeste
FELIPE CAMARÃO;MASC;PAR;PINTOR;EFC;ARMA_F;fev;SEM2;dom;ADU;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;MILITAR REFORMADO;EMC;ARMA_F;fev;SEM3;qua;ADU;VES;Norte
FELIPE CAMARÃO;MASC;BRA;POLICIAL CIVIL III;SUP;ARMA_F;fev;SEM5;seg;ADU;MAD;Oeste
PETRÓPOLIS;FEM;BRA;FETO;NI_ESC;NI_INS;jan;SEM4;seg;CRI;MAD;Norte
FELIPE CAMARÃO;MASC;PAR;MENOR DEPENDENTE;NI_ESC;ELETROPLESSAO;jan;SEM5;qui;CRI;MAT;Oeste
POTENGI;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;jan;SEM2;ter;ADO;NOT;Norte
ALECRIM;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;jan;SEM2;qua;ADO;VES;Norte
FELIPE CAMARÃO;MASC;PAR;AUXILIAR DE SOLDADOR;EFC;ARMA_F;jan;SEM2;sáb;ADO;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;jan;SEM4;sex;ADU;NOT;Oeste
NORDESTE;MASC;NEG;AMBULANTE;EFC;ARMA_F;jan;SEM4;sáb;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;DETENTO FUGITIVO;NI_ESC;ARMA_F;jan;SEM3;sáb;ADU;NOT;Oeste
POTENGI;FEM;BRA;ESTUDANTE C;EMC;ARMA_F;jan;SEM4;qua;ADU;VES;Norte
PLANALTO;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;jan;SEM2;sáb;ADU;NOT;Oeste
POTENGI;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;jan;SEM4;sáb;ADU;NOT;Norte
QUINTAS;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM5;dom;ADU;MAT;Oeste
LAGOA AZUL;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM5;sáb;ADU;NOT;Norte
QUINTAS;MASC;NEG;MARCHANTE;EMC;ARMA_F;jan;SEM5;dom;ADU;NOT;Oeste
ROCAS;MASC;BRA;DESOCUPADO(A);NI_ESC;ARMA_F;jan;SEM3;qua;ADU;NOT;Norte
NEÓPOLIS;MASC;NEG;SEM PROFISSAO;NI_ESC;ARMA_F;jan;SEM4;seg;ADU;MAT;Leste
POTENGI;MASC;PAR;FEIRANTE;NI_ESC;ARMA_F;jan;SEM5;seg;ADU;MAT;Norte
PAJUÇARA;FEM;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;jan;SEM3;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;COMERCIANTE;EMC;ARMA_F;jan;SEM4;dom;ADU;NOT;Norte
NOVA DESCOBERTA;MASC;NEG;NI_PROF;NI_ESC;ARMA_B;jan;SEM6;dom;ADU;NOT;Sul
POTENGI;MASC;PAR;JARDINEIRO;EFC;ARMA_F;jan;SEM4;sáb;ADU;NOT;Norte
CIDADE ALTA;MASC;PAR;MORADOR DE RUA;NI_ESC;ARMA_B;jan;SEM3;qui;ADU;MAT;Norte
PAJUÇARA;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;jan;SEM5;qua;ADU;NOT;Norte
CIDADE DA ESPERANÇA;MASC;NEG;AUXILIAR DE COZINHA;EMC;ARMA_F;jan;SEM2;sáb;ADU;MAT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;EX DETENTO DESOCUPADO;NI_ESC;ARMA_F;jan;SEM2;qui;ADU;VES;Norte
PAJUÇARA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;jan;SEM2;seg;ADU;NOT;Norte
CIDADE ALTA;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;jan;SEM2;qua;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;jan;SEM2;sex;ADU;VES;Norte
ALECRIM;MASC;NEG;MORADOR DE RUA;NI_ESC;ARMA_B;jan;SEM3;qui;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;SERVENTE DE OBRAS;EFC;ESPANC;jan;SEM4;dom;ADU;MAD;Norte
POTENGI;MASC;NEG;PEDREIRO;EFC;ARMA_F;jan;SEM2;sex;ADU;VES;Norte
CIDADE ALTA;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;jan;SEM3;sex;ADU;NOT;Norte
BOM PASTOR;MASC;NEG;MECANICO(A);EMC;ARMA_F;jan;SEM5;dom;ADU;NOT;Oeste
PITIMBU;MASC;PAR;PEDREIRO;EFC;ARMA_F;jan;SEM5;sex;ADU;VES;Sul
MÃE LUÍZA;MASC;NEG;CABELEIREIRO(A);EFC;ARMA_B;jan;SEM3;qui;ADU;VES;Norte
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_B;jan;SEM5;ter;ADU;VES;Oeste
LAGOA NOVA;FEM;PAR;TURISMOLOGA;SUP;ARMA_F;jan;SEM1;sáb;ADU;NOT;Sul
PONTA NEGRA;MASC;BRA;POLICIAL MILITAR APOSENTADO;SUP;ARMA_F;jan;SEM2;qua;IDO;VES;Sul
FELIPE CAMARÃO;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;jul;SEM2;sáb;ADO;NOT;Oeste
PAJUÇARA;MASC;PAR;ESTUDANTE C;EMC;ARMA_B;jul;SEM4;qui;ADO;MAT;Norte
PONTA NEGRA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;jul;SEM4;qui;ADO;MAT;Sul
CIDADE DA ESPERANÇA;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;jul;SEM2;dom;ADO;MAT;Oeste
QUINTAS;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;jul;SEM1;sáb;ADO;NOT;Oeste
REDINHA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;jul;SEM2;sáb;ADO;MAD;Norte
BOM PASTOR;MASC;PAR;ASG;EFC;ARMA_F;jul;SEM2;sex;ADU;MAD;Oeste
IGAPÓ;MASC;PAR;MILITAR;SUP;ARMA_F;jul;SEM4;sáb;ADU;NOT;Norte
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jul;SEM1;sex;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;MECANICO(A);EMC;ARMA_F;jul;SEM1;sáb;ADU;MAT;Norte
REDINHA;MASC;PAR;VENDEDOR DE LOJA;EMC;ARMA_F;jul;SEM4;ter;ADU;NOT;Norte
CIDADE ALTA;MASC;NI_ETN;SEM PROFISSAO;NI_ESC;ARMA_F;jul;SEM3;sáb;ADU;MAT;Norte
CIDADE DA ESPERANÇA;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;jul;SEM6;dom;ADU;MAT;Oeste
PAJUÇARA;MASC;PAR;SEM PROFISSAO;NI_ESC;ARMA_F;jul;SEM2;sex;ADU;NOT;Norte
MÃE LUÍZA;MASC;PAR;AMBULANTE;EFC;ARMA_F;jul;SEM5;dom;ADU;MAT;Norte
PAJUÇARA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;jul;SEM2;sex;ADU;NI_TUR;Norte
