BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;SEMANA;DIA DA SEMANA;FAIXA;TURNO;ZONA
TIROL;MASC;BRA;MENOR DEPENDENTE;NI_ESC;ARMA_F;set;SEM5;qua;set;MAD;Leste
POTENGI;FEM;BRA;ESTUDANTE B;EFC;ELETROPLESSAO;ago;SEM6;dom;ago;NI_TUR;Norte
LAGOA AZUL;FEM;BRA;ESTUDANTE B;EFC;ARMA_F;abr;SEM5;ter;abr;VES;Norte
BOM PASTOR;MASC;PAR;MENOR DEPENDENTE;NI_ESC;ARMA_F;mar;SEM5;dom;mar;NOT;Oeste
CIDADE ALTA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;mai;SEM5;dom;mai;NOT;Leste
FELIPE CAMARÃO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;fev;SEM4;qui;fev;VES;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;mai;SEM6;dom;mai;MAT;Norte
PLANALTO;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;mar;SEM2;sex;mar;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM3;sáb;nov;NOT;Oeste
FELIPE CAMARÃO;MASC;NEG;ESTUDANTE C;EMC;NI_INS;nov;SEM3;sáb;nov;MAT;Oeste
IGAPÓ;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;fev;SEM4;ter;fev;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;abr;SEM2;sáb;abr;MAD;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jan;SEM5;dom;jan;NOT;Norte
PAJUÇARA;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;dez;SEM3;qua;dez;NOT;Norte
PONTA NEGRA;MASC;PAR;ESTUDANTE C;EMC;ARMA_B;jan;SEM4;qui;jan;NOT;Sul
POTENGI;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;set;SEM5;dom;set;MAD;Norte
QUINTAS;MASC;PAR;MECANICO(A);EMC;ARMA_F;out;SEM5;seg;out;NOT;Oeste
ROCAS;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;mai;SEM6;dom;mai;MAD;Leste
SANTOS REIS;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;jan;SEM2;ter;jan;NOT;Leste
CIDADE DA ESPERANÇA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ESPANC;abr;SEM5;ter;abr;MAT;Oeste
CIDADE NOVA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM2;qua;nov;NOT;Oeste
FELIPE CAMARÃO;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;nov;SEM3;dom;nov;VES;Oeste
FELIPE CAMARÃO;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;jan;SEM3;dom;jan;NI_TUR;Oeste
FELIPE CAMARÃO;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;ago;SEM6;seg;ago;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;mar;SEM4;qua;mar;NOT;Oeste
GUARAPES;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;ago;SEM4;qua;ago;MAT;Oeste
LAGOA AZUL;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;ago;SEM2;ter;ago;VES;Norte
LAGOA AZUL;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;ago;SEM2;ter;ago;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;jan;SEM2;qui;jan;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;ESTUDANTE B;EFC;ESPANC;jan;SEM3;ter;jan;NI_TUR;Norte
PAJUÇARA;MASC;NEG;ESTUDANTE B;EFC;ARMA_B;ago;SEM4;sáb;ago;VES;Norte
PAJUÇARA;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;dez;SEM2;dom;dez;VES;Norte
PLANALTO;FEM;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM3;sáb;out;NOT;Oeste
POTENGI;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;jan;SEM2;sex;jan;NI_TUR;Norte
POTENGI;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;nov;SEM1;seg;nov;NOT;Norte
POTENGI;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jun;SEM3;sáb;jun;NOT;Norte
POTENGI;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;mar;SEM1;qui;mar;VES;Norte
PRAIA DO MEIO;MASC;BRA;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM4;sáb;nov;VES;Leste
REDINHA;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;set;SEM3;dom;set;NOT;Norte
REDINHA;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;jan;SEM2;qui;jan;VES;Norte
BOM PASTOR;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;jan;SEM3;sex;jan;NOT;Oeste
BOM PASTOR;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;dez;SEM2;sáb;dez;NOT;Oeste
DIX-SEPT ROSADO;MASC;PAR;ESTUDANTE B;EFC;ARMA_B;jan;SEM3;dom;jan;NI_TUR;Oeste
GUARAPES;FEM;PAR;ESTUDANTE B;EFC;ARMA_F;jul;SEM1;sex;jul;NOT;Oeste
IGAPÓ;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;jun;SEM3;qui;jun;NOT;Norte
IGAPÓ;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM3;qua;nov;MAT;Norte
LAGOA AZUL;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jun;SEM2;dom;jun;NOT;Norte
PLANALTO;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;abr;SEM4;qua;abr;NOT;Oeste
PONTA NEGRA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;dez;SEM2;sex;dez;NOT;Sul
POTENGI;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;fev;SEM2;qua;fev;VES;Norte
POTENGI;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jan;SEM4;qua;jan;NI_TUR;Norte
ALECRIM;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;fev;SEM3;sex;fev;MAT;Leste
CIDADE DA ESPERANÇA;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;mai;SEM2;seg;mai;NOT;Oeste
CIDADE NOVA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM1;seg;jun;NOT;Oeste
CIDADE NOVA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM2;qua;jun;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM2;ter;dez;NOT;Oeste
FELIPE CAMARÃO;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;dez;SEM3;ter;dez;NOT;Oeste
IGAPÓ;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;mar;SEM3;sex;mar;VES;Norte
IGAPÓ;FEM;PAR;ESTUDANTE C;EMC;ARMA_F;mar;SEM2;dom;mar;MAD;Norte
LAGOA AZUL;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;nov;SEM3;ter;nov;MAT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;ago;SEM2;sáb;ago;MAD;Norte
PAJUÇARA;MASC;BRA;SERVENTE DE OBRAS;EFC;ARMA_F;ago;SEM3;qui;ago;NOT;Norte
PAJUÇARA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;nov;SEM1;dom;nov;VES;Norte
PONTA NEGRA;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;set;SEM2;ter;set;VES;Sul
POTENGI;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;jan;SEM5;dom;jan;NI_TUR;Norte
QUINTAS;MASC;PAR;ASG;EFC;ARMA_F;out;SEM4;dom;out;VES;Oeste
QUINTAS;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;mar;SEM3;sáb;mar;MAT;Oeste
ROCAS;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;jun;SEM5;dom;jun;VES;Leste
ROCAS;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;nov;SEM2;sáb;nov;VES;Leste
SANTOS REIS;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;mai;SEM1;sáb;mai;NOT;Leste
TIROL;MASC;NEG;MORADOR DE RUA;NI_ESC;ARMA_F;jan;SEM4;ter;jan;NOT;Leste
BOM PASTOR;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;mar;SEM3;sex;mar;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;EX DETENTO DESOCUPADO;NI_ESC;ARMA_F;jul;SEM3;qui;jul;VES;Oeste
DIX-SEPT ROSADO;MASC;PAR;JARDINEIRO;EFC;ARMA_B;ago;SEM4;dom;ago;VES;Oeste
DIX-SEPT ROSADO;MASC;NEG;MECANICO(A);EMC;ARMA_F;fev;SEM2;sex;fev;MAD;Oeste
FELIPE CAMARÃO;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;mar;SEM3;sex;mar;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;EMPREGADO DOMESTICO;EFC;ARMA_F;fev;SEM4;qui;fev;NI_TUR;Oeste
