BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;SEMANA;DIA DA SEMANA;FAIXA;TURNO;ZONA
FELIPE CAMARÃO;MASC;PAR;MENOR DEPENDENTE;NI_ESC;ARMA_F;jun;SEM3;ter;CRI;NI_TUR;Oeste
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;ESTUDANTE C;EMC;ARMA_F;fev;SEM5;dom;ADO;VES;Norte
LAGOA AZUL;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM5;seg;ADO;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;PEDREIRO;EFC;ARMA_F;set;SEM3;dom;ADO;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;dez;SEM4;sex;ADO;VES;Norte
PONTA NEGRA;MASC;BRA;ESTUDANTE C;EMC;ARMA_B;mar;SEM4;qua;ADO;VES;Sul
BOM PASTOR;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;dez;SEM2;dom;ADO;MAD;Oeste
CIDADE ALTA;MASC;PAR;VENDEDOR DE LOJA;EMC;ARMA_F;mar;SEM5;ter;ADO;NOT;Leste
CIDADE DA ESPERANÇA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM5;ter;ADO;NOT;Oeste
FELIPE CAMARÃO;FEM;PAR;ESTUDANTE C;EMC;ARMA_F;jul;SEM1;qua;ADO;NI_TUR;Oeste
FELIPE CAMARÃO;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;abr;SEM3;qua;ADO;NI_TUR;Oeste
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;ESTUDANTE C;EMC;ESPANC;jul;SEM1;sáb;ADO;NOT;Norte
PAJUÇARA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jun;SEM3;qui;ADO;NOT;Norte
ALECRIM;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;mar;SEM6;seg;ADO;VES;Leste
CIDADE ALTA;FEM;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM4;ter;ADO;NOT;Leste
CIDADE ALTA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM4;ter;ADO;VES;Leste
CIDADE DA ESPERANÇA;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;abr;SEM4;qua;ADO;NI_TUR;Oeste
FELIPE CAMARÃO;MASC;BRA;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jan;SEM4;dom;ADO;NOT;Oeste
IGAPÓ;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jun;SEM3;sáb;ADO;VES;Norte
IGAPÓ;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM5;ter;ADO;NI_TUR;Norte
LAGOA SECA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM4;dom;ADO;VES;Leste
NI_BAIRRO;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;jul;SEM4;seg;ADO;VES;NI_ZONA
NI_BAIRRO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;dez;SEM5;qua;ADO;NOT;NI_ZONA
NI_BAIRRO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM2;dom;ADO;NOT;NI_ZONA
NORDESTE;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;set;SEM4;ter;ADO;NOT;Oeste
NOSSA SENHORA DE NAZARÉ;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;jan;SEM2;sex;ADO;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jul;SEM4;sáb;ADO;VES;Norte
POTENGI;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;dez;SEM5;qua;ADO;NOT;Norte
ROCAS;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jul;SEM4;sex;ADO;VES;Leste
BOM PASTOR;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM5;qua;ADO;VES;Oeste
BOM PASTOR;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM3;dom;ADO;NOT;Oeste
CIDADE ALTA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;mar;SEM3;sex;ADO;VES;Leste
CIDADE DA ESPERANÇA;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;mar;SEM5;ter;ADO;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;mar;SEM5;ter;ADO;NOT;Oeste
LAGOA AZUL;MASC;BRA;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;fev;SEM3;ter;ADO;MAD;Norte
LAGOA NOVA;MASC;BRA;ENTREGADOR;EFC;ARMA_F;mar;SEM2;sáb;ADO;NOT;Sul
MÃE LUÍZA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jun;SEM1;sex;ADO;NOT;Leste
MÃE LUÍZA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;set;SEM5;ter;ADO;VES;Leste
NI_BAIRRO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM4;sáb;ADO;NOT;NI_ZONA
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;ESTUDANTE B;EFC;ARMA_F;jan;SEM3;qui;ADO;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;set;SEM2;sáb;ADO;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jun;SEM1;dom;ADO;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM5;seg;ADO;VES;Norte
PAJUÇARA;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;jan;SEM3;ter;ADO;VES;Norte
PAJUÇARA;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;jan;SEM2;sáb;ADO;MAD;Norte
PAJUÇARA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM5;qui;ADO;MAT;Norte
PETRÓPOLIS;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;mai;SEM3;ter;ADO;NOT;Leste
PLANALTO;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;jul;SEM2;qua;ADO;MAD;Oeste
POTENGI;MASC;BRA;SOLDADOR;EFC;ARMA_F;abr;SEM5;dom;ADO;NI_TUR;Norte
REDINHA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;ago;SEM3;seg;ADO;NOT;Norte
