BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;SEMANA;DIA DA SEMANA;FAIXA;TURNO;ZONA
ALECRIM;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;ago;SEM4;qua;ADO;MAD;Leste
ALECRIM;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM3;seg;ADU;NOT;Leste
ALECRIM;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jun;SEM1;sex;ADU;VES;Leste
ALECRIM;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;out;SEM4;seg;ADU;NOT;Leste
ALECRIM;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;nov;SEM3;qui;ADU;NOT;Leste
AREIA PRETA;FEM;PAR;ESTUDANTE C;EMC;AMP;jun;SEM1;seg;ADO;MAD;Leste
AREIA PRETA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM5;ter;ADU;VES;Leste
AREIA PRETA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;nov;SEM3;qui;ADU;NOT;Leste
AREIA PRETA;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;abr;SEM5;qui;ADU;MAD;Leste
BOM PASTOR;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;fev;SEM3;qua;ADO;VES;Oeste
BOM PASTOR;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;mar;SEM4;qua;ADO;VES;Oeste
BOM PASTOR;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;dez;SEM5;seg;ADO;VES;Oeste
BOM PASTOR;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;dez;SEM3;qui;ADO;NOT;Oeste
BOM PASTOR;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;mar;SEM6;sex;ADU;MAD;Oeste
BOM PASTOR;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;mar;SEM3;qui;ADU;VES;Oeste
BOM PASTOR;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM2;seg;ADU;NOT;Oeste
BOM PASTOR;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM4;sex;ADU;NOT;Oeste
BOM PASTOR;MASC;BRA;AGRICULTOR(A);EFC;ARMA_F;ago;SEM2;sáb;ADU;MAT;Oeste
BOM PASTOR;MASC;BRA;SERVENTE DE OBRAS;EFC;ARMA_F;out;SEM4;ter;ADU;VES;Oeste
BOM PASTOR;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;out;SEM3;sáb;ADU;NOT;Oeste
BOM PASTOR;MASC;PAR;VENDEDOR AUTONOMO;EFC;ARMA_F;abr;SEM4;dom;ADU;NOT;Oeste
BOM PASTOR;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM3;qua;ADU;MAT;Oeste
BOM PASTOR;FEM;BRA;VENDEDOR AUTONOMO;EFC;ARMA_F;set;SEM4;sáb;ADU;VES;Oeste
BOM PASTOR;MASC;NEG;COMERCIANTE;EMC;ARMA_F;mai;SEM2;sáb;ADU;NI_ESC;Oeste
BOM PASTOR;MASC;NEG;PINTOR;EFC;ARMA_B;mai;SEM4;sáb;ADU;VES;Oeste
BOM PASTOR;MASC;BRA;VENDEDOR AUTONOMO;EFC;ARMA_F;abr;SEM5;ter;ADU;NOT;Oeste
BOM PASTOR;MASC;BRA;NI_PROF;NI_ESC;ARMA_F;ago;SEM5;qua;ADU;MAD;Oeste
BOM PASTOR;MASC;BRA;VIGILANTE;EMC;ARMA_F;ago;SEM2;sáb;ADU;VES;Oeste
BOM PASTOR;MASC;BRA;NI_PROF;NI_ESC;ARMA_F;set;SEM4;seg;ADU;NOT;Oeste
BOM PASTOR;MASC;PAR;AUXILIAR DE ALMOXARIFADO DE OBRAS;EMC;ARMA_B;jun;SEM5;dom;ADU;VES;Oeste
BOM PASTOR;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM4;qui;IDO;NOT;Oeste
CANDELÁRIA;MASC;PAR;NI_PROF;NI_ESC;ARMA_B;mar;SEM5;ter;ADU;VES;Sul
CAPIM MACIO;MASC;PAR;DESEMPREGADO;NI_ESC;CARBO;jul;SEM3;sex;ADU;NOT;Sul
CIDADE ALTA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;nov;SEM4;sáb;ADU;VES;Leste
CIDADE ALTA;MASC;BRA;SOLDADOR;EFC;ARMA_B;mai;SEM5;sáb;ADU;NOT;Leste
CIDADE ALTA;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_B;jan;SEM2;qui;ADU;NOT;Leste
CIDADE ALTA;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;fev;SEM2;sáb;ADU;NOT;Leste
CIDADE ALTA;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;mai;SEM3;ter;ADU;VES;Leste
CIDADE ALTA;MASC;BRA;NI_PROF;NI_ESC;CARBO;abr;SEM1;sáb;ADU;MAT;Leste
CIDADE ALTA;MASC;NEG;VENDEDOR AUTONOMO;EFC;ARMA_F;jan;SEM2;dom;ADU;NI_ESC;Leste
CIDADE DA ESPERANÇA;MASC;NEG;ESTUDANTE A;PRE-E;ARMA_F;mai;SEM4;qui;CRI;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jan;SEM5;sáb;ADO;NI_ESC;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_B;mar;SEM3;sex;ADO;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;jun;SEM2;qui;ADU;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;GESSEIRO;EFC;ARMA_F;abr;SEM4;qui;ADU;MAT;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;VENDEDOR AUTONOMO;EFC;ARMA_F;mai;SEM3;qui;ADU;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;out;SEM1;sex;ADU;VES;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;dez;SEM4;ter;ADU;VES;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;PEDREIRO;EFC;ARMA_B;set;SEM5;sex;ADU;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;nov;SEM2;qui;ADU;VES;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;out;SEM4;dom;ADU;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;FLANELINHA;EFC;ESPANC;jul;SEM5;dom;ADU;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;PINTOR;EFC;ARMA_F;jun;SEM2;sáb;ADU;NOT;Oeste
CIDADE DA ESPERANÇA;FEM;BRA;DO LAR;EFC;ARMA_B;mai;SEM3;qua;ADU;VES;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;GARCOM;EMC;ARMA_F;mar;SEM6;qui;IDO;NOT;Oeste
CIDADE NOVA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;mar;SEM4;dom;ADO;MAD;Oeste
CIDADE NOVA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;fev;SEM4;sex;ADO;VES;Oeste
CIDADE NOVA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;set;SEM5;qui;ADO;VES;Oeste
CIDADE NOVA;MASC;PAR;AUXILIAR DE MARCENEIRO;EFC;ARMA_F;set;SEM1;qua;ADU;NOT;Oeste
CIDADE NOVA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;ago;SEM2;qui;ADU;NOT;Oeste
CIDADE NOVA;MASC;PAR;VENDEDOR AUTONOMO;EFC;ARMA_F;mar;SEM5;dom;ADU;VES;Oeste
CIDADE NOVA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;nov;SEM5;sex;ADU;NOT;Oeste
CIDADE NOVA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;jun;SEM4;dom;ADU;NOT;Oeste
CIDADE NOVA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;abr;SEM4;qui;ADU;NI_ESC;Oeste
CIDADE NOVA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM4;seg;ADU;MAD;Oeste
CIDADE NOVA;MASC;PAR;GESSEIRO;EFC;ARMA_F;abr;SEM2;qui;ADU;VES;Oeste
CIDADE NOVA;MASC;PAR;FLANELINHA;EFC;AMP;fev;SEM4;sex;ADU;NOT;Oeste
CIDADE NOVA;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM1;seg;ADU;NOT;Oeste
CIDADE NOVA;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;dez;SEM5;dom;ADU;VES;Oeste
